Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000gxzx,6,"Friday, May 17, 2013 21:42:21 UTC",-35.2301,-105.8408,4.8,10.10,65,"southern East Pacific Rise"
nc,71993266,0,"Friday, May 17, 2013 21:38:05 UTC",37.5202,-121.8842,1.6,5.50,12,"San Francisco Bay area, California"
uw,60531107,2,"Friday, May 17, 2013 21:31:47 UTC",49.4467,-120.5382,2.5,0.00,11,"British Columbia, Canada"
nc,71993251,2,"Friday, May 17, 2013 21:29:59 UTC",40.7515,-122.3128,2.1,0.00,36,"Northern California"
us,b000gy1w,4,"Friday, May 17, 2013 21:27:56 UTC",1.3588,98.9458,4.2,115.80,18,"northern Sumatra, Indonesia"
nc,71993246,0,"Friday, May 17, 2013 21:23:38 UTC",38.2838,-119.2660,2.1,0.20,12,"Central California"
us,b000gxzf,6,"Friday, May 17, 2013 21:23:29 UTC",-6.1343,149.9185,4.8,65.80,35,"New Britain region, Papua New Guinea"
uw,60531102,1,"Friday, May 17, 2013 21:01:00 UTC",46.2393,-123.0803,1.1,0.00,14,"Washington"
ci,15345081,2,"Friday, May 17, 2013 20:18:20 UTC",33.9722,-116.8580,1.1,19.70,32,"Southern California"
us,b000gxx8,B,"Friday, May 17, 2013 20:15:17 UTC",45.7670,-76.3460,3.1,18.00, 0,"southern Ontario, Canada"
ci,15345065,2,"Friday, May 17, 2013 19:52:34 UTC",33.5117,-116.4223,1.0,13.30,19,"Southern California"
nc,71993196,3,"Friday, May 17, 2013 19:17:18 UTC",35.4798,-120.5982,1.7,0.00,70,"Central California"
nc,71993186,0,"Friday, May 17, 2013 19:05:16 UTC",36.5580,-121.0862,1.4,10.10,12,"Central California"
ci,15345033,2,"Friday, May 17, 2013 19:04:21 UTC",33.2437,-115.5552,2.0,0.00,15,"Southern California"
ci,15345025,2,"Friday, May 17, 2013 19:01:08 UTC",33.2713,-115.5400,1.6,3.60,12,"Southern California"
nc,71993171,3,"Friday, May 17, 2013 18:56:17 UTC",36.5553,-121.0875,1.8,9.70,38,"Central California"
nc,71993166,5,"Friday, May 17, 2013 18:53:20 UTC",37.3778,-119.0380,3.0,10.80,51,"Central California"
ci,15345001,2,"Friday, May 17, 2013 18:09:34 UTC",33.2548,-116.2438,1.1,15.00,16,"Southern California"
pr,13137005,0,"Friday, May 17, 2013 18:09:08 UTC",19.3064,-66.0325,3.0,46.00,11,"Puerto Rico region"
pr,13137006,0,"Friday, May 17, 2013 17:58:03 UTC",18.1620,-65.2845,1.8,5.00, 4,"Puerto Rico region"
uw,60531057,1,"Friday, May 17, 2013 17:46:54 UTC",46.7430,-120.8497,1.1,6.80,16,"Washington"
ci,15344993,2,"Friday, May 17, 2013 17:41:38 UTC",34.3505,-116.8453,1.6,0.00,34,"Southern California"
ci,15344985,3,"Friday, May 17, 2013 17:16:00 UTC",34.5622,-118.2072,1.3,13.80,10,"Southern California"
nc,71993081,0,"Friday, May 17, 2013 16:41:41 UTC",38.7468,-122.7080,1.0,2.20,10,"Northern California"
ci,15344969,4,"Friday, May 17, 2013 16:41:38 UTC",33.2042,-115.5580,1.5,3.20,17,"Southern California"
ci,15344961,2,"Friday, May 17, 2013 16:35:35 UTC",33.4762,-116.4673,1.0,14.40,18,"Southern California"
ak,10719037,1,"Friday, May 17, 2013 16:30:53 UTC",62.1939,-145.8230,2.0,3.50,12,"Central Alaska"
us,b000gxrk,6,"Friday, May 17, 2013 16:29:52 UTC",-10.4832,-75.2254,4.5,39.20,22,"central Peru"
ci,15344953,2,"Friday, May 17, 2013 16:27:04 UTC",33.8385,-117.5002,1.5,0.30,41,"Greater Los Angeles area, California"
ci,15344945,2,"Friday, May 17, 2013 16:05:15 UTC",33.5148,-116.4453,1.0,7.60,23,"Southern California"
ci,15344937,2,"Friday, May 17, 2013 15:45:18 UTC",33.0377,-116.3730,1.7,13.40,46,"Southern California"
ak,10719005,2,"Friday, May 17, 2013 15:43:24 UTC",54.6684,-153.7351,3.5,9.80,16,"south of Alaska"
nc,71993041,3,"Friday, May 17, 2013 15:42:58 UTC",38.8397,-122.8365,1.5,2.60,48,"Northern California"
nc,71993016,0,"Friday, May 17, 2013 14:39:53 UTC",37.4323,-121.7720,1.5,5.10,17,"San Francisco Bay area, California"
pr,13137004,0,"Friday, May 17, 2013 14:33:15 UTC",18.1228,-64.3496,2.4,64.00, 5,"Virgin Islands region"
